2019-04-24 10:59:08,337 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.wx.nettyserver:wxnetty:1.0-SNAPSHOT @ E:\wx\wechat-netty-server\wxnetty\pom.xml.
2019-04-24 10:59:19,517 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-24 10:59:19,534 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-24 10:59:19,543 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-24 10:59:19,544 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-24 10:59:21,515 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /wxnetty/src/main/java
2019-04-24 10:59:21,516 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /wxnetty/src/test/java
2019-04-24 10:59:30,378 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-04-24 10:59:36,102 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.wx.nettyserver:wxnetty:1.0-SNAPSHOT @ E:\wx\wechat-netty-server\wxnetty\pom.xml.
2019-04-24 10:59:50,500 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /wxnetty/src/main/java
2019-04-24 10:59:50,508 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /wxnetty/src/test/java
2019-04-24 10:59:54,837 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 24 sec
2019-04-24 10:59:57,686 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-24 10:59:57,721 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-24 10:59:57,723 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-24 10:59:57,724 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-24 10:59:59,038 [Worker-14] INFO  o.e.m.i.launch.MavenLaunchDelegate - E:\wx\wechat-netty-server\wxnetty
2019-04-24 10:59:59,039 [Worker-14] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2019-04-25 15:25:22,640 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.wx.nettyserver:wxnetty:1.0-SNAPSHOT @ E:\wx\wechat-netty-server\wxnetty\pom.xml.
2019-04-25 15:25:22,642 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.wx.nettyserver:wxnetty:1.0-SNAPSHOT @ E:\wx\wechat-netty-server\wxnetty\pom.xml.
2019-04-25 15:25:36,967 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-25 15:25:36,970 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-25 15:25:36,974 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-25 15:25:36,976 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-25 15:25:39,299 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.wx.nettyserver:wxnetty:1.0-SNAPSHOT @ E:\wx\wechat-netty-server\wxnetty\pom.xml.
2019-04-25 15:25:41,268 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-25 15:25:41,279 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-25 15:25:41,281 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-25 15:25:41,283 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-26 09:39:52,059 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.wx.wxweb:wxweb:0.0.1-SNAPSHOT @ E:\wx\wechatmanager\wxweb\pom.xml.
2019-04-26 09:41:04,303 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 09:41:04,411 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-04-26 09:41:04,694 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-04-26 09:41:04,704 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 09:41:04,704 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechatmanager\wxweb\src\test\resources
2019-04-26 09:43:23,472 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 09:43:23,571 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-04-26 09:43:23,572 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-04-26 09:43:23,599 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 09:43:23,599 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechatmanager\wxweb\src\test\resources
2019-04-26 09:43:36,763 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 09:43:36,849 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-04-26 09:43:36,851 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-04-26 09:43:36,853 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 09:43:36,853 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechatmanager\wxweb\src\test\resources
2019-04-26 09:43:43,189 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 09:43:43,190 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-04-26 09:43:43,192 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-04-26 09:43:43,196 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 09:43:43,196 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechatmanager\wxweb\src\test\resources
2019-04-26 09:45:13,322 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 09:45:13,343 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-04-26 09:45:13,344 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-04-26 09:45:13,346 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 09:45:13,346 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechatmanager\wxweb\src\test\resources
2019-04-26 09:46:35,589 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-26 09:46:35,597 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-26 09:46:35,598 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-26 09:46:35,599 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-26 09:46:59,774 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 09:46:59,774 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-04-26 09:46:59,777 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-04-26 09:46:59,784 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 09:46:59,784 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechatmanager\wxweb\src\test\resources
2019-04-26 10:52:23,137 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 10:52:23,138 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-04-26 10:52:23,140 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-04-26 10:52:23,142 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 10:52:23,142 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechatmanager\wxweb\src\test\resources
